"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 5","typography_body-m__xgxZ_ 6","typography_body-m__xgxZ_ 7","typography_body-m__xgxZ_ 8"
"CH","https://fr.trustpilot.com/users/6501f521a870aa00113853fb","Chris","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 sept. 2023","https://fr.trustpilot.com/reviews/6501f534359e922b8f81b036","Commande non reçue","Commande non reçue. Depuis juillet j'ai contacté la redoute à de nombreuses reprises. Le service client répond que j'aurai une réponse dans 48h, cela fait 3 mois que ça dure ! Je ne compte pas en rester là, j'ai payé ma commande, je veux la recevoir ou être remboursée !","01 juillet 2023","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/64ce2a17aa15ce0012486da6","Mélusine de Radzitzky","1 avis","BE","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","5 août 2023","https://fr.trustpilot.com/reviews/64ce2a1ec5f4a1eb6607a10f","Augmentation des prix pendant les soldes","J’ai remarqué qu’ils avait augmenté le prix de leur article de 30 euros pendant les soldes. Lorsque je me suis plaint de leur pratique frauduleuse ils m’ont expliqué que cela était du à un mauvais affichages des prix à la base qui étaient trop bas. Maintenant que les soldes sont terminées, les articles sont revenus à leur prix initials… bref des voleurs.","17 juillet 2023","Date de l'expérience:","Utile","Partager","1"
"NC","https://fr.trustpilot.com/users/593d72190000ff000aa26496","N Carpentier","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","1 août 2023","https://fr.trustpilot.com/reviews/64c94643169e585bdc1c1967","Commande non réceptionnée, non remboursée","Commande LRFR20231843415357-B du 3/07Le suivi de livraison est resté bloqué au 5/07 : ""Colis retardé pendant l'acheminement"". Depuis malgré des relances téléphone + mails, la seule réponse du vendeur est qu'on me remboursera ""après réponse sur l'enquête auprès de Chronopost""?! (sic). Lors de mon dernier appel, le service relation clients a lancé une procédure de réclamation/incident en promettant une réponse de La Redoute dans un délai de 72 heures car ""c'est beaucoup trop long, le partenaire Olivier Desforges avait 48h pour répondre"". Depuis, Pas de news de La Redoute malgré ce délai dépassé.Poursuite procédures à prévoir... Pas bon La Redoute","01 août 2023","Date de l'expérience:","Utile","Partager","1"
"DD","https://fr.trustpilot.com/users/600bc399187dd6001a9b4024","domie.baradat Domie","7 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","6 août 2023","https://fr.trustpilot.com/reviews/64cf7aa71a1944ea7ba0fa23","Arnaque sur Marketplace","Arnaque sur MarketplaceArticle commandé sur fournisseur Tradeinn fin juin. Jamais livré jamais remboursé. 20eur de perdu merci La Redoute qui s'en est lavé les mains carrément. C'est vraiment la dernière fois que je commande chez eux","29 juin 2023","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/64c14d73ab967d0011a9dbe7","Selma Kaabi","1 avis","CH","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","26 juil. 2023","https://fr.trustpilot.com/reviews/64c14d7fe7d9168b506abd25","Complètement incompétent !","Complètement incompétent !Je vois à travers les commentaires que pleins de personnes ont vécu ça. Ça fait des semaines qu’une table Latti est dispo sur le site, je l’ai commandé vendredi 21 et aujourd’hui je reçois un e-mail comme quoi ils sont navré l’article ne sera pas livré il n’est plus dispo alors que sur le site il était indiqué comme expédié. Ils ne proposes pas d’alternatives juste un vieux copier coller d’excuse. Pitoyable.","26 juillet 2023","Date de l'expérience:","Utile","Partager","1"
"BR","https://fr.trustpilot.com/users/52e0df29000064000160022e","BRACHET","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","5 juil. 2023","https://fr.trustpilot.com/reviews/64a54078961e6ed0f6aef4bd","Prélèvement de 15 euros sans accord préalable","Surprise de trouver sur mon dernier relevé bancaire un paiement de 15,00 € effectué à partir de ma carte bancaire, sans aucun avis préalable ou validation de ma part !Il s'agirait d'une adhésion subtile (...) dont je n'ai pas le souvenir,, il y a un an, à un mystérieux programme de fidélité. Même si, devant ma colère, la Redoute rembourse, c'est un procédé lamentable et quasi mafieux.Cela s'ajoute à une ancienne livraison d'un collier avec chaînette, laquelle avait été ""réparée"" avec un bout de fil de fer !!!","03 juillet 2023","Date de l'expérience:","Utile","Partager","3"
"LA","https://fr.trustpilot.com/users/63dbd69c2e32e00012016249","Laetitia","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","2 févr. 2023","https://fr.trustpilot.com/reviews/63dbd6cc4b01fb3f5494c7c2","Pas de problème, livraison rapide, articles conformes.","Commande 20230284021509J'ai hésité à commander au vu de tous les avis négatifs, mais ma dernière commande d'il y a un an s'étant bien passée, j'ai réitéré.Tout s'est à nouveau bien passé, délai rapide et produits conformes, livraison par La Redoute en relais postal.","28 janvier 2023","Date de l'expérience:","Utile","Partager",""
"MS","https://fr.trustpilot.com/users/544a8a74000064000192276f","M. STRAUSS Didier","6 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","17 juil. 2023","https://fr.trustpilot.com/reviews/64b44c97442c4c92ecb385af","Site de voleur!","Commandez une veste le moi dernier, le suivi marque qu'il est arrivé le 27 dans le pays puis plus rien, le 7 je contact le service après vente, et phrase rempli de préenregistrer avec surtout ""Vous devez attendre 5 a 6jour après l'arrivé dans votre pays"", alors que j'ai bien demandé après, et quand je retente de leurs parlé... impossible de contacter le vendeur, message en rouge je ne peux pas me plaindre ou autre.. tout simplement....","27 juin 2023","Date de l'expérience:","Utile","Partager",""
"AX","https://fr.trustpilot.com/users/64f5b080ee59660013ff3905","axel","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","4 sept. 2023","https://fr.trustpilot.com/reviews/64f5b0908602365efa86a8fb","aucunes solutions","Suite a une carte cadeau perimé de quelques jours , aucunes solution a m'apporter pour prolonger , pas tres commercant sachant qu'il on l'argent","04 septembre 2023","Date de l'expérience:","Utile","Partager","1"
"IS","https://fr.trustpilot.com/users/572a235b0000ff000a1d29c5","Isaetcie","14 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","16 août 2023","https://fr.trustpilot.com/reviews/64dc90ce6011480b9a567e6b","Déplorable !!","Déplorable !!! Un mois pour livrer un matelas ! Le transporteur ne s'est pas présenté au premier rdv (qui était déjà une semaine plus tard que ce qui était annoncé à la commande), ensuite il nous annonce une date une semaine plus tard, puis la change sans notification à deux semaines plus tard... Le service client de La Redoute pendant ce temps ? Rien, aucun suivi, aucun effort... juste des ""on n'y peut rien c'est le transporteur""...","16 août 2023","Date de l'expérience:","Utile","Partager",""
"RS","https://fr.trustpilot.com/users/5fec95ab643b8d001ad8bf62","Rémi S.","10 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","11 févr. 2023","https://fr.trustpilot.com/reviews/63e6c4659b64b1bdaf53a9ed","Bon service","3 commandes chez La Redoute, et tout s'est très bien passé. Niveau qualité des produits, j'ai été agréablement surpris pour le pris.J'ai eu affaire au service client : une commande de bols en grès est arrivée dans la mauvaise couleur. Après l'avoir signalé, le service client m'a recontacté et, comme la couleur initiale n'est plus disponible, m'a proposé le renvoi et remboursement ou de garder les bols contre un remboursement de 30% de la valeur des bols.J'ai trouvé le service efficace et adapté, je tenais donc à écrire cette évaluation car ce n'est pas le cas de tous les sites de e-commerce.","08 février 2023","Date de l'expérience:","Utile","Partager",""
"MA","https://fr.trustpilot.com/users/64bfefe1bf561d001241303e","Mathias","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 juil. 2023","https://fr.trustpilot.com/reviews/64bfeff23df11bacc8848ec3","Produit indisponible","J'ai commandé une centrale vapeur sur la redoute.com, j'ai passé toutes les étapes de commande (tunnel de commande, 3d secure, réception du mail de confirmation...). Ce n'est que 2 jours plus tard que je reçois un mail pour m'annoncer que le produit que j'avais commandé n'est plus disponible. Il serait peut-être bon de vérifier les stocks avant de proposer un produit sur le site...","24 juillet 2023","Date de l'expérience:","Utile","Partager",""
"SA","https://fr.trustpilot.com/users/64c2694758e33b0011327473","SANTERRE","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","27 juil. 2023","https://fr.trustpilot.com/reviews/64c2696569aa51b3cfcb896c","J'ai retourné un produit suite à une erreur dans ma commande","J'ai retourné un produit suite à une erreur lorsque j'ai passé ma commande et là parcours du combattant pour obtenir le remboursement ! On vous balade de services en services, vous n'obtenez jamais la même réponse, La redoute et ses partenaires se rejettent la faute...bref la redoute encaisse, mais ne rembourse pas !!! (je précise que le produit n'a même pas été déballé!)","20 juin 2023","Date de l'expérience:","Utile","Partager","1"
"","https://fr.trustpilot.com/users/64a8697ae7f03000122a202c","Megan Michelin","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","8 juil. 2023","https://fr.trustpilot.com/reviews/64a8697ffad3e4ea102d48da","SAV incompétent","SAV incompétent, personnel téléphonique mal aimable, vous soupire au nezCommande faite mais j'ai dû annulée le lendemain car erreur d'achat, impossible pour eux d'annuler car soit disant l'article a été expédié sauf qu'il ne l'était pas, refuse de nous annuler la commande, refuse de le renvoyer, le fait à nos frais après un hors délai de plus de 15 jours Je ne recommande absolument pas","07 juillet 2023","Date de l'expérience:","Utile","Partager",""
"VC","https://fr.trustpilot.com/users/648c2757f7e9710012d80c3c","Virginie CALMUS","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","16 juin 2023","https://fr.trustpilot.com/reviews/648c277ecd2ef219edf01d94","Expérience client décevante","Aucun suivi entre les différents services clientèle ( téléphone, messenger ...) Chacun donne une procédure différente et/ou nous répéte la même chose (ce qui ne solutionne en aucun cas mon problème) en plus ce manque d'empathie pour le client franchement c'est inimaginable. Ma commande date du 04 mai pour une paire de baskets, nous sommes le 16 juin et toujours pas de solution. Expérience client catastrophique!","10 juin 2023","Date de l'expérience:","Utile","Partager","1"
"LB","https://fr.trustpilot.com/users/6246b2250e61a00014ce224a","Laurén BLANCO","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","7 août 2023","https://fr.trustpilot.com/reviews/64d0b818b34e77e0c0f61d82","Article commandé et jamais reçu malgré…","Article commandé et jamais reçu malgré mes multiples relances !!! Personne n'est capable de vous dire ou cela en est… fournisseur qui ne répond à personne, pas moyen d'annuler la commande… une honte ! Je déconseille fortement.","07 août 2023","Date de l'expérience:","Utile","Partager","1"
"JP","https://fr.trustpilot.com/users/5d6d3dc5f1cb2d25584885a4","Jean Pierre Sagette","4 avis","CA","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","27 juil. 2023","https://fr.trustpilot.com/reviews/64c267955b0a2381184da6b6","Plus jamais la Redoute","Commande d'une console le 7 Juillet; livraison estimée entre 5 et 10 jours; differents mails et messages contradictoires sur mon espace en ligne La redoute.Résultat j'annule différents projets car voulant être présent pour la livraison. Aujourd'hui le 27 Juillet nouvelle date de livraison prévue par le service client auprès duquel j'ai exprimé mon mécontentement; il est 14h 30 et j'attends toujours une livraison prévue entre 9 et 12h. En résumé si vous avez du temps à perdre et aimez passer vos journées à attendre une hypothétique livraison; commandez à la Redoute.J'ai été par le passé un très bon client de la Redoute; ceci a pris fin aujourd'hui.","27 juillet 2023","Date de l'expérience:","Utile","Partager","1"
"P.","https://fr.trustpilot.com/users/6443b9ed04afe70012ef78c3","P.","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","24 avr. 2023","https://fr.trustpilot.com/reviews/644687f1a995c309365d46b4","Avis très positif pour le site de La Redoute","Voilà plusieurs commandes passées sur le site de La Redoute et tout était parfait à chaque fois :respect des délais, facilité de livraison, commande complète, satisfaction au niveau des produits commandés ainsi qu'une grande facilité au niveau des retours. Je recommande vivement ce site.","24 mars 2023","Date de l'expérience:","Utile","Partager",""
"PV","https://fr.trustpilot.com/users/5d48706b6bc3c1404209c75a","PIERRE Valerie","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","11 août 2023","https://fr.trustpilot.com/reviews/64d5cc7794418fbdf4fbfdfc","Une catastrophe","Une catastrophe ! Je commande un lit + 1 matelas. Livraison du lit impeccable pour le matelas c'était noté le 4 août, ce jour là j'appelle le service client qui me dit que non la livraison est en septembre, j'ai pris un jour de congés pour rien .des mails, des mails avec les copies d'écran avec la mention livraison le 4 août. La réponse : nous ne vous trouvons pas comme cliente ne passez pas par l'appli connectez vous au site...une catastrophe j'ai demandé l'annulation de ma commande du matelas, 5 mails toujours la même réponse. Bon courage pour la suite, nouvelle faillite en perspective. Je voulais juste encourager cette entreprise française..","04 août 2023","Date de l'expérience:","Utile","Partager","1"
